Code,Food name in English,Scientific name,eligibility_status,eligibility_reason,eligibility_rule_id,eligibility_source
02_058,"Plantain, ripe, ivory flesh, boiled* (as part of a recipe)",Musa paradisica,eligible,No exclusion or review rule matched.,,Default project rule
02_057,"Plantain, ripe, ivory flesh, boiled* (without salt), drained",Musa paradisica,eligible,No exclusion or review rule matched.,,Default project rule
02_044,"Plantain, ripe, orange flesh, raw",Musa spp.,eligible,No exclusion or review rule matched.,,Default project rule
02_060,"Plantain, ripe, orange flesh, boiled* (as part of a recipe)",Musa spp.,eligible,No exclusion or review rule matched.,,Default project rule
02_059,"Plantain, ripe, orange flesh, boiled* (without salt), drained",Musa spp.,eligible,No exclusion or review rule matched.,,Default project rule
02_046,"Plantain, unripe, ivory flesh, raw",Musa spp.,eligible,No exclusion or review rule matched.,,Default project rule
02_065,"Plantain, unripe, ivory flesh, boiled* (as part of a recipe)",Musa spp.,eligible,No exclusion or review rule matched.,,Default project rule
02_064,"Plantain, unripe, ivory flesh, boiled* (without salt), drained",Musa spp.,eligible,No exclusion or review rule matched.,,Default project rule
02_047,"Plantain, unripe, orange flesh, raw",Musa spp.,eligible,No exclusion or review rule matched.,,Default project rule
02_067,"Plantain, unripe, orange flesh, boiled* (as part of a recipe)",Musa spp.,eligible,No exclusion or review rule matched.,,Default project rule
02_066,"Plantain, unripe, orange flesh, boiled* (without salt), drained",Musa spp.,eligible,No exclusion or review rule matched.,,Default project rule
02_045,"Plantain, unripe, pale flesh, raw",Musa spp.,eligible,No exclusion or review rule matched.,,Default project rule
02_063,"Plantain, unripe, pale flesh, boiled* (as part of a recipe)",Musa spp.,eligible,No exclusion or review rule matched.,,Default project rule
02_062,"Plantain, unripe, pale flesh, boiled* (without salt), drained",Musa spp.,eligible,No exclusion or review rule matched.,,Default project rule
02_048,"Plantain, unripe, pale flesh, flour",Musa spp.,eligible,No exclusion or review rule matched.,,Default project rule
02_095,"Porridge, tô, from gari and tomato paste (Burkina Faso)*",,eligible,No exclusion or review rule matched.,,Default project rule
02_085,Potato nin zindo (Burkina Faso)*: potato and vegetable stew,,eligible,No exclusion or review rule matched.,,Default project rule
02_009,"Potato, raw",Solanum tuberosum,eligible,No exclusion or review rule matched.,,Default project rule
02_068,"Potato, boiled* (as part of a recipe)",Solanum tuberosum,eligible,No exclusion or review rule matched.,,Default project rule
02_010,"Potato, boiled* (without salt), drained",Solanum tuberosum,eligible,No exclusion or review rule matched.,,Default project rule
02_011,"Sweet potato, deep yellow flesh, raw",Ipomoea spp.,eligible,No exclusion or review rule matched.,,Default project rule
02_070,"Sweet potato, deep yellow flesh, boiled* (as part of a recipe)",Ipomoea spp.,eligible,No exclusion or review rule matched.,,Default project rule
02_012,"Sweet potato, deep yellow flesh, boiled* (without salt), drained",Ipomoea spp.,eligible,No exclusion or review rule matched.,,Default project rule
02_049,"Sweet potato, orange flesh, raw",Ipomoea batatas,eligible,No exclusion or review rule matched.,,Default project rule
02_073,"Sweet potato, orange flesh, boiled* (as part of a recipe)",Ipomoea batatas,eligible,No exclusion or review rule matched.,,Default project rule
02_072,"Sweet potato, orange flesh, boiled* (without salt), drained",Ipomoea batatas,eligible,No exclusion or review rule matched.,,Default project rule
02_022,"Sweet potato, pale flesh (white/cream/pale yellow), raw",Ipomoea batatas,eligible,No exclusion or review rule matched.,,Default project rule
02_069,"Sweet potato, pale flesh (white/cream/pale yellow), boiled* (as part of a recipe)",Ipomoea batatas,eligible,No exclusion or review rule matched.,,Default project rule
02_023,"Sweet potato, pale flesh (white/cream/pale yellow), boiled* (without salt), drained",Ipomoea batatas,eligible,No exclusion or review rule matched.,,Default project rule
02_013,"Sweet potato, yellow flesh, raw",Ipomoea batatas,eligible,No exclusion or review rule matched.,,Default project rule
02_071,"Sweet potato, yellow flesh, boiled* (as part of a recipe)",Ipomoea batatas,eligible,No exclusion or review rule matched.,,Default project rule
02_014,"Sweet potato, yellow flesh, boiled* (without salt), drained",Ipomoea batatas,eligible,No exclusion or review rule matched.,,Default project rule
02_083,"Sweet potato, deep fried in unfortified vegetable oil*",Ipomoea batatas,eligible,No exclusion or review rule matched.,,Default project rule
02_015,"Taro, tuber, white, raw",Colocasia esculenta,eligible,No exclusion or review rule matched.,,Default project rule
02_074,"Taro, tuber, white, boiled* (as part of a recipe)",Colocasia esculenta,eligible,No exclusion or review rule matched.,,Default project rule
02_016,"Taro, tuber, white, boiled* (without salt), drained",Colocasia esculenta,eligible,No exclusion or review rule matched.,,Default project rule
02_026,"Tiger nut, tuber, dried",Colocasia esculenta,eligible,No exclusion or review rule matched.,,Default project rule
02_024,"Tiger nut, tuber, raw",Colocasia esculenta,eligible,No exclusion or review rule matched.,,Default project rule
02_075,"Tiger nut, tuber, boiled* (as part of a recipe)",Colocasia esculenta,eligible,No exclusion or review rule matched.,,Default project rule
02_025,"Tiger nut, tuber, boiled* (without salt), drained",Colocasia esculenta,eligible,No exclusion or review rule matched.,,Default project rule
02_017,"Water yam, tuber, raw",Dioscorea alata,eligible,No exclusion or review rule matched.,,Default project rule
02_076,"Water yam, tuber, boiled* (as part of a recipe)",Dioscorea alata,eligible,No exclusion or review rule matched.,,Default project rule
02_018,"Water yam, tuber, boiled* (without salt), drained",Dioscorea alata,eligible,No exclusion or review rule matched.,,Default project rule
02_082,"Yam, tuber, deep fried in unfortified vegetable oil*",,eligible,No exclusion or review rule matched.,,Default project rule
02_036,"Yam, tuber, flour, from white yam tuber",Dioscorea spp.,eligible,No exclusion or review rule matched.,,Default project rule
02_019,"Yam, tuber, pale, raw",Dioscorea spp.,eligible,No exclusion or review rule matched.,,Default project rule
02_077,"Yam, tuber, pale, boiled* (as part of a recipe)",Dioscorea spp.,eligible,No exclusion or review rule matched.,,Default project rule
02_020,"Yam, tuber, pale, boiled* (without salt), drained",Dioscorea spp.,eligible,No exclusion or review rule matched.,,Default project rule
02_027,"Yam, tuber, Isu akoko, raw (Nigeria), n=1",Dioscorea spp.,eligible,No exclusion or review rule matched.,,Default project rule
02_028,"Yam, tuber, Isu oko, raw (Nigeria), n=1",Dioscorea spp.,eligible,No exclusion or review rule matched.,,Default project rule
02_029,"Yam, tuber, Amara, raw (Nigeria), n=1",Dioscorea dumetorum,eligible,No exclusion or review rule matched.,,Default project rule
02_030,"Yam, tuber, Chika, kundu, raw (Nigeria), n=1",Dioscorea dumetorum,eligible,No exclusion or review rule matched.,,Default project rule
02_033,"Yam, tuber, Giwa, raw (Nigeria), n=1",Dioscorea dumetorum,eligible,No exclusion or review rule matched.,,Default project rule
02_031,"Yam, tuber, Isu Abuja, raw (Nigeria), n=1",Dioscorea spp.,eligible,No exclusion or review rule matched.,,Default project rule
02_032,"Yam, tuber, Pepa, raw (Nigeria), n=1",Dioscorea dumetorum,eligible,No exclusion or review rule matched.,,Default project rule
02_034,"Yam, tuber, combined cultivars, raw (Nigeria)",Dioscorea spp.,eligible,No exclusion or review rule matched.,,Default project rule
02_078,"Yam, tuber, combined cultivars (Nigeria), boiled* (as part of a recipe)",Dioscorea spp.,eligible,No exclusion or review rule matched.,,Default project rule
02_035,"Yam, tuber, combined cultivars (Nigeria), boiled* (without salt), drained",Dioscorea spp.,eligible,No exclusion or review rule matched.,,Default project rule
02_050,"Yam, tuber, three-leaved, pale, raw",Dioscorea dumetorum,eligible,No exclusion or review rule matched.,,Default project rule
02_080,"Yam, tuber, three-leaved, pale, boiled* (as part of a recipe)",Dioscorea dumetorum,eligible,No exclusion or review rule matched.,,Default project rule
02_079,"Yam, tuber, three-leaved, pale, boiled* (without salt, drained)",Dioscorea dumetorum,eligible,No exclusion or review rule matched.,,Default project rule
03_009,"African locust bean, dry, raw",Parkia biglobosa,eligible,No exclusion or review rule matched.,,Default project rule
03_042,"African locust bean, fermented (soumbala)",Parkia biglobosa,eligible,No exclusion or review rule matched.,,Default project rule
03_063,"African locust bean, not soaked, boiled* (without salt), drained",Parkia biglobosa,eligible,No exclusion or review rule matched.,,Default project rule
03_064,"African locust bean, not soaked, boiled* (without salt), with cooking liquid",Parkia biglobosa,eligible,No exclusion or review rule matched.,,Default project rule
03_065,"African locust bean, soaked, boiled in different water* (without salt), drained",Parkia biglobosa,eligible,No exclusion or review rule matched.,,Default project rule
03_066,"African locust bean, soaked, boiled in different water* (without salt), with cooking liquid",Parkia biglobosa,eligible,No exclusion or review rule matched.,,Default project rule
03_010,"African yam bean, dry, raw",Sphenostylis stenocarpa,eligible,No exclusion or review rule matched.,,Default project rule
03_011,"African yam bean, not soaked, boiled* (without salt), drained",Sphenostylis stenocarpa,eligible,No exclusion or review rule matched.,,Default project rule
03_060,"African yam bean, not soaked, boiled* (without salt), with cooking liquid",Sphenostylis stenocarpa,eligible,No exclusion or review rule matched.,,Default project rule
03_061,"African yam bean, soaked, boiled in different water* (without salt), drained",Sphenostylis stenocarpa,eligible,No exclusion or review rule matched.,,Default project rule
03_062,"African yam bean, soaked, boiled in different water* (without salt), with cooking liquid",Sphenostylis stenocarpa,eligible,No exclusion or review rule matched.,,Default project rule
03_044,"Afzelia africana, shelled, roasted, milled",Afzelia africana,eligible,No exclusion or review rule matched.,,Default project rule
03_001,"Bambara groundnut, dry, raw",Vigna subterranea,eligible,No exclusion or review rule matched.,,Default project rule
03_012,"Bambara groundnut, not soaked, boiled* (without salt), drained",Vigna subterranea,eligible,No exclusion or review rule matched.,,Default project rule
03_068,"Bambara groundnut, soaked, boiled in different water* (without salt), drained",Vigna subterranea,eligible,No exclusion or review rule matched.,,Default project rule
03_013,"Bambara groundnut, black white-eye, dry, raw (Ghana), n=1",Vigna subterranea,eligible,No exclusion or review rule matched.,,Default project rule
03_014,"Bambara groundnut, brown white-eye, dry, raw (Ghana), n=1",Vigna subterranea,eligible,No exclusion or review rule matched.,,Default project rule
03_015,"Bambara groundnut, cream black-eye, dry, raw (Ghana), n=1",Vigna subterranea,eligible,No exclusion or review rule matched.,,Default project rule
03_016,"Bambara groundnut, cream pink-eye, dry, raw (Ghana), n=1",Vigna subterranea,eligible,No exclusion or review rule matched.,,Default project rule
03_017,"Bambara groundnut, maroon white-eye, dry, raw (Ghana), n=1",Vigna subterranea,eligible,No exclusion or review rule matched.,,Default project rule
03_018,"Bambara groundnut, combined varieties, dry, raw (Ghana)",Vigna subterranea,eligible,No exclusion or review rule matched.,,Default project rule
03_019,"Bambara groundnut, combined varieties (Ghana), not soaked, boiled* (without salt), drained",Vigna subterranea,eligible,No exclusion or review rule matched.,,Default project rule
03_071,"Bambara groundnut, combined varieties (Ghana), soaked, boiled in different water* (without salt), drained",Vigna subterranea,eligible,No exclusion or review rule matched.,,Default project rule
03_002,"Bambara groundnut, red, dry, raw",Vigna subterranea,eligible,No exclusion or review rule matched.,,Default project rule
03_020,"Bambara groundnut, red, not soaked, boiled* (without salt), drained",Vigna subterranea,eligible,No exclusion or review rule matched.,,Default project rule
03_074,"Bambara groundnut, red, soaked, boiled in different water* (without salt), drained",Vigna subterranea,eligible,No exclusion or review rule matched.,,Default project rule
03_003,"Bambara groundnut, white, dry, raw",Vigna subterranea,eligible,No exclusion or review rule matched.,,Default project rule
03_021,"Bambara groundnut, white, not soaked, boiled* (without salt), drained",Vigna subterranea,eligible,No exclusion or review rule matched.,,Default project rule
03_077,"Bambara groundnut, white, soaked, boiled in different water* (without salt), drained",Vigna subterranea,eligible,No exclusion or review rule matched.,,Default project rule
03_022,"Bean, white, dry, raw",Phaseolus vulgaris,eligible,No exclusion or review rule matched.,,Default project rule
03_023,"Bean, white, not soaked, boiled* (without salt), drained",Phaseolus vulgaris,eligible,No exclusion or review rule matched.,,Default project rule
03_079,"Bean, white, not soaked, boiled* (without salt), with cooking liquid",Phaseolus vulgaris,eligible,No exclusion or review rule matched.,,Default project rule
03_081,"Bean, white, soaked, boiled in different water* (without salt), drained",Phaseolus vulgaris,eligible,No exclusion or review rule matched.,,Default project rule
03_082,"Bean, white, soaked, boiled in different water* (without salt), with cooking liquid",Phaseolus vulgaris,eligible,No exclusion or review rule matched.,,Default project rule
03_144,"Beng rougougdga (Burkina Faso)*: cowpeas and vegetables, boiled",,eligible,No exclusion or review rule matched.,,Default project rule
03_148,Beng rougougdga né ki wesla (Burkina Faso)*: cowpeas with pearl millet couscous,,eligible,No exclusion or review rule matched.,,Default project rule
03_149,"Beng rougougdga né kmaan (Burkina Faso)*: cowpeas and degermed white maize, boiled",,eligible,No exclusion or review rule matched.,,Default project rule
03_150,"Beng rougougdga né kui wesla (Burkina Faso)*: cowpeas and fonio, boiled",,eligible,No exclusion or review rule matched.,,Default project rule
03_151,Beng saagbo (Burkina Faso)*: tô (porridge) from cowpeas with maize flour and potash,,eligible,No exclusion or review rule matched.,,Default project rule
03_154,Boussan touba (Burkina Faso)*: fried cowpea pancakes,,eligible,No exclusion or review rule matched.,,Default project rule
03_024,"Broad bean, dry, raw",Vicia faba,eligible,No exclusion or review rule matched.,,Default project rule
03_025,"Broad bean, not soaked, boiled* (without salt), drained",Vicia faba,eligible,No exclusion or review rule matched.,,Default project rule
03_083,"Broad bean, not soaked, boiled* (without salt), with cooking liquid",Vicia faba,eligible,No exclusion or review rule matched.,,Default project rule
03_084,"Broad bean, soaked, boiled in different water* (without salt), drained",Vicia faba,eligible,No exclusion or review rule matched.,,Default project rule
03_085,"Broad bean, soaked, boiled in different water* (without salt), with cooking liquid",Vicia faba,eligible,No exclusion or review rule matched.,,Default project rule
03_004,"Cowpea, dry, raw",Vigna unguiculata,eligible,No exclusion or review rule matched.,,Default project rule
03_007,"Cowpea, not soaked, boiled* (without salt), drained",Vigna unguiculata,eligible,No exclusion or review rule matched.,,Default project rule
03_089,"Cowpea, not soaked, boiled* (without salt), with cooking liquid",Vigna unguiculata,eligible,No exclusion or review rule matched.,,Default project rule
03_090,"Cowpea, soaked, boiled in different water* (without salt), drained",Vigna unguiculata,eligible,No exclusion or review rule matched.,,Default project rule
03_091,"Cowpea, soaked, boiled in different water* (without salt), with cooking liquid",Vigna unguiculata,eligible,No exclusion or review rule matched.,,Default project rule
03_005,"Cowpea, black, dry, raw",Vigna unguiculata,eligible,No exclusion or review rule matched.,,Default project rule
03_026,"Cowpea, black, not soaked, boiled* (without salt), drained",Vigna unguiculata,eligible,No exclusion or review rule matched.,,Default project rule
03_092,"Cowpea, black, not soaked, boiled* (without salt), with cooking liquid",Vigna unguiculata,eligible,No exclusion or review rule matched.,,Default project rule
03_093,"Cowpea, black, soaked, boiled in different water* (without salt), drained",Vigna unguiculata,eligible,No exclusion or review rule matched.,,Default project rule
03_094,"Cowpea, black, soaked, boiled in different water* (without salt), with cooking liquid",Vigna unguiculata,eligible,No exclusion or review rule matched.,,Default project rule
03_027,"Cowpea, brown, dry, raw",Vigna unguiculata,eligible,No exclusion or review rule matched.,,Default project rule
03_028,"Cowpea, brown, not soaked, boiled* (without salt), drained",Vigna unguiculata,eligible,No exclusion or review rule matched.,,Default project rule
03_095,"Cowpea, brown, not soaked, boiled* (without salt), with cooking liquid",Vigna unguiculata,eligible,No exclusion or review rule matched.,,Default project rule
03_096,"Cowpea, brown, soaked, boiled in different water* (without salt), drained",Vigna unguiculata,eligible,No exclusion or review rule matched.,,Default project rule
03_097,"Cowpea, brown, soaked, boiled in different water* (without salt), with cooking liquid",Vigna unguiculata,eligible,No exclusion or review rule matched.,,Default project rule
03_006,"Cowpea, white, dry, raw",Vigna unguiculata,eligible,No exclusion or review rule matched.,,Default project rule
03_029,"Cowpea, white, not soaked, boiled* (without salt), drained",Vigna unguiculata,eligible,No exclusion or review rule matched.,,Default project rule
03_098,"Cowpea, white, not soaked, boiled* (without salt), with cooking liquid",Vigna unguiculata,eligible,No exclusion or review rule matched.,,Default project rule
03_099,"Cowpea, white, soaked, boiled in different water* (without salt), drained",Vigna unguiculata,eligible,No exclusion or review rule matched.,,Default project rule
03_100,"Cowpea, white, soaked, boiled in different water* (without salt), with cooking liquid",Vigna unguiculata,eligible,No exclusion or review rule matched.,,Default project rule
03_045,"Cowpea, dehulled, raw",Vigna unguiculata,eligible,No exclusion or review rule matched.,,Default project rule
03_101,"Cowpea, dehulled, not soaked, boiled* (without salt), drained",Vigna unguiculata,eligible,No exclusion or review rule matched.,,Default project rule
03_102,"Cowpea, dehulled, not soaked, boiled* (without salt), with cooking liquid",Vigna unguiculata,eligible,No exclusion or review rule matched.,,Default project rule
03_103,"Cowpea, dehulled, soaked, boiled in different water* (without salt), drained",Vigna unguiculata,eligible,No exclusion or review rule matched.,,Default project rule
03_104,"Cowpea, dehulled, soaked, boiled in different water* (without salt), with cooking liquid",Vigna unguiculata,eligible,No exclusion or review rule matched.,,Default project rule
03_143,"Cowpeas and rice, boiled (Burkina Faso)*",,eligible,No exclusion or review rule matched.,,Default project rule
03_146,"Faro with eggs, cowpea, potash and vegetables (Burkina Faso)*",,eligible,No exclusion or review rule matched.,,Default project rule
03_147,Haricot bambara (Burkina Faso)*: fried paste of cowpea and okra powder with egg and onion,,eligible,No exclusion or review rule matched.,,Default project rule
03_152,Gonré-1 (Burkina Faso)*: steamed paste of dehulled cowpea and potash,,eligible,No exclusion or review rule matched.,,Default project rule
03_153,Gonré-2 (Burkina Faso)*: steamed paste of non-dehulled cowpea and potash,,eligible,No exclusion or review rule matched.,,Default project rule
03_057,"Ground bean, dry, raw",Macrotyloma geocarpum,eligible,No exclusion or review rule matched.,,Default project rule
03_113,"Ground bean, not soaked, boiled* (without salt), drained",Macrotyloma geocarpum,eligible,No exclusion or review rule matched.,,Default project rule
03_114,"Ground bean, not soaked, boiled* (without salt), with cooking liquid",Macrotyloma geocarpum,eligible,No exclusion or review rule matched.,,Default project rule
03_115,"Ground bean, soaked, boiled in different water* (without salt), drained",Macrotyloma geocarpum,eligible,No exclusion or review rule matched.,,Default project rule
03_116,"Ground bean, soaked, boiled in different water* (without salt), with cooking liquid",Macrotyloma geocarpum,eligible,No exclusion or review rule matched.,,Default project rule
03_052,"Jack bean, whole, dry, raw",Canavalia ensiformis,eligible,No exclusion or review rule matched.,,Default project rule
03_109,"Jack bean, not soaked, boiled* (without salt), drained",Canavalia ensiformis,eligible,No exclusion or review rule matched.,,Default project rule
03_110,"Jack bean, not soaked, boiled* (without salt), with cooking liquid",Canavalia ensiformis,eligible,No exclusion or review rule matched.,,Default project rule
03_111,"Jack bean, soaked, boiled in different water* (without salt), drained",Canavalia ensiformis,eligible,No exclusion or review rule matched.,,Default project rule
03_112,"Jack bean, soaked, boiled in different water* (without salt), with cooking liquid",Canavalia ensiformis,eligible,No exclusion or review rule matched.,,Default project rule
03_030,"Lentil, dry, raw",Lens culinaris,eligible,No exclusion or review rule matched.,,Default project rule
03_031,"Lentil, not soaked, boiled* (without salt), drained",Lens culinaris,eligible,No exclusion or review rule matched.,,Default project rule
03_086,"Lentil, not soaked, boiled* (without salt), with cooking liquid",Lens culinaris,eligible,No exclusion or review rule matched.,,Default project rule
03_087,"Lentil, soaked, boiled in different water* (without salt), drained",Lens culinaris,eligible,No exclusion or review rule matched.,,Default project rule
03_088,"Lentil, soaked, boiled in different water* (without salt), with cooking liquid",Lens culinaris,eligible,No exclusion or review rule matched.,,Default project rule
03_058,"Lima bean, dry, raw",Phaseolus lunatus,eligible,No exclusion or review rule matched.,,Default project rule
03_117,"Lima bean, not soaked, boiled* (without salt), drained",Phaseolus lunatus,eligible,No exclusion or review rule matched.,,Default project rule
03_118,"Lima bean, not soaked, boiled* (without salt), with cooking liquid",Phaseolus lunatus,eligible,No exclusion or review rule matched.,,Default project rule
03_119,"Lima bean, soaked, boiled in different water* (without salt), drained",Phaseolus lunatus,eligible,No exclusion or review rule matched.,,Default project rule
03_120,"Lima bean, soaked, boiled in different water* (without salt), with cooking liquid",Phaseolus lunatus,eligible,No exclusion or review rule matched.,,Default project rule
03_032,"Pigeon pea, dry, raw",Cajanus cajan,eligible,No exclusion or review rule matched.,,Default project rule
03_033,"Pigeon pea, not soaked, boiled* (without salt), drained",Cajanus cajan,eligible,No exclusion or review rule matched.,,Default project rule
03_121,"Pigeon pea, not soaked, boiled* (without salt), with cooking liquid",Cajanus cajan,eligible,No exclusion or review rule matched.,,Default project rule
03_122,"Pigeon pea, soaked, boiled in different water* (without salt), drained",Cajanus cajan,eligible,No exclusion or review rule matched.,,Default project rule
03_123,"Pigeon pea, soaked, boiled in different water* (without salt), with cooking liquid",Cajanus cajan,eligible,No exclusion or review rule matched.,,Default project rule
03_055,"Pigeon pea, brown, dry, raw",Cajanus cajan,eligible,No exclusion or review rule matched.,,Default project rule
03_132,"Pigeon pea, brown, not soaked, boiled* (without salt), drained",Cajanus cajan,eligible,No exclusion or review rule matched.,,Default project rule
03_133,"Pigeon pea, brown, not soaked, boiled* (without salt), with cooking liquid",Cajanus cajan,eligible,No exclusion or review rule matched.,,Default project rule
03_134,"Pigeon pea, brown, soaked, boiled in different water* (without salt), drained",Cajanus cajan,eligible,No exclusion or review rule matched.,,Default project rule
03_135,"Pigeon pea, brown, soaked, boiled in different water* (without salt), with cooking liquid",Cajanus cajan,eligible,No exclusion or review rule matched.,,Default project rule
03_054,"Pigeon pea, cream, dry, raw",Cajanus cajan,eligible,No exclusion or review rule matched.,,Default project rule
03_128,"Pigeon pea, cream, not soaked, boiled* (without salt), drained",Cajanus cajan,eligible,No exclusion or review rule matched.,,Default project rule
03_129,"Pigeon pea, cream, not soaked, boiled* (without salt), with cooking liquid",Cajanus cajan,eligible,No exclusion or review rule matched.,,Default project rule
03_130,"Pigeon pea, cream, soaked, boiled in different water* (without salt), drained",Cajanus cajan,eligible,No exclusion or review rule matched.,,Default project rule
03_131,"Pigeon pea, cream, soaked, boiled in different water* (without salt), with cooking liquid",Cajanus cajan,eligible,No exclusion or review rule matched.,,Default project rule
03_053,"Pigeon pea, white, dry, raw",Cajanus cajan,eligible,No exclusion or review rule matched.,,Default project rule
03_124,"Pigeon pea, white, not soaked, boiled* (without salt), drained",Cajanus cajan,eligible,No exclusion or review rule matched.,,Default project rule
03_125,"Pigeon pea, white, not soaked, boiled* (without salt), with cooking liquid",Cajanus cajan,eligible,No exclusion or review rule matched.,,Default project rule
03_126,"Pigeon pea, white, soaked, boiled in different water* (without salt), drained",Cajanus cajan,eligible,No exclusion or review rule matched.,,Default project rule
03_127,"Pigeon pea, white, soaked, boiled in different water* (without salt), with cooking liquid",Cajanus cajan,eligible,No exclusion or review rule matched.,,Default project rule
03_142,"Porridge of cowpeas, yam and potash (Burkina Faso)*",,eligible,No exclusion or review rule matched.,,Default project rule
03_145,Soumma (Burkina Faso)*: bambara groundnuts boiled with potash,,eligible,No exclusion or review rule matched.,,Default project rule
03_008,"Soya bean, dry, raw",Glycine max,eligible,No exclusion or review rule matched.,,Default project rule
03_034,"Soya bean, not soaked, boiled* (without salt), drained",Glycine max,eligible,No exclusion or review rule matched.,,Default project rule
03_136,"Soya bean, soaked, boiled in different water* (without salt), drained",Glycine max,eligible,No exclusion or review rule matched.,,Default project rule
03_036,"Soya bean, Anidaso variety, dry, raw (Ghana), n=1",Glycine max,eligible,No exclusion or review rule matched.,,Default project rule
03_038,"Soya bean, Jenguma variety, dry, raw (Ghana), n=1",Glycine max,eligible,No exclusion or review rule matched.,,Default project rule
03_037,"Soya bean, Quarshie variety, dry, raw (Ghana), n=1",Glycine max,eligible,No exclusion or review rule matched.,,Default project rule
03_035,"Soya bean, Salintuya-1 variety, dry, raw (Ghana), n=1",Glycine max,eligible,No exclusion or review rule matched.,,Default project rule
03_039,"Soya bean, combined varieties, dry, raw (Ghana)",Glycine max,eligible,No exclusion or review rule matched.,,Default project rule
03_040,"Soya bean, combined varieties (Ghana), not soaked, boiled* (without salt), drained",Glycine max,eligible,No exclusion or review rule matched.,,Default project rule
03_137,"Soya bean, combined varieties (Ghana), soaked, boiled in different water* (without salt), drained",Glycine max,eligible,No exclusion or review rule matched.,,Default project rule
03_051,"Sweet dattock, whole, raw",Detarium microcarpum,eligible,No exclusion or review rule matched.,,Default project rule
03_105,"Sweet dattock, not soaked, boiled* (without salt), drained",Detarium microcarpum,eligible,No exclusion or review rule matched.,,Default project rule
03_106,"Sweet dattock, not soaked, boiled* (without salt), with cooking liquid",Detarium microcarpum,eligible,No exclusion or review rule matched.,,Default project rule
03_107,"Sweet dattock, soaked, boiled in different water* (without salt), drained",Detarium microcarpum,eligible,No exclusion or review rule matched.,,Default project rule
03_108,"Sweet dattock, soaked, boiled in different water* (without salt), with cooking liquid",Detarium microcarpum,eligible,No exclusion or review rule matched.,,Default project rule
03_059,"Velvet bean, dry, raw",Mucuna pruriens,eligible,No exclusion or review rule matched.,,Default project rule
03_138,"Velvet bean, not soaked, boiled* (without salt), drained",Mucuna pruriens,eligible,No exclusion or review rule matched.,,Default project rule
03_139,"Velvet bean, not soaked, boiled* (without salt), with cooking liquid",Mucuna pruriens,eligible,No exclusion or review rule matched.,,Default project rule
03_140,"Velvet bean, soaked, boiled in different water* (without salt), drained",Mucuna pruriens,eligible,No exclusion or review rule matched.,,Default project rule
03_141,"Velvet bean, soaked, boiled in different water* (without salt), with cooking liquid",Mucuna pruriens,eligible,No exclusion or review rule matched.,,Default project rule
04_023,"Amaranth, leaves, fresh, raw",Amaranthus spp.,eligible,No exclusion or review rule matched.,,Default project rule
04_086,"Amaranth, leaves, fresh, boiled* (as part of a recipe)",Amaranthus spp.,eligible,No exclusion or review rule matched.,,Default project rule
04_024,"Amaranth, leaves, fresh, boiled* (without salt), drained",Amaranthus spp.,eligible,No exclusion or review rule matched.,,Default project rule
04_002,"Baobab, leaves, dried",Adansonia digitata,eligible,No exclusion or review rule matched.,,Default project rule
04_001,"Baobab, leaves, fresh, raw",Adansonia digitata,eligible,No exclusion or review rule matched.,,Default project rule
04_087,"Baobab, leaves, fresh, boiled* (as part of a recipe)",Adansonia digitata,eligible,No exclusion or review rule matched.,,Default project rule
04_025,"Baobab, leaves, fresh, boiled* (without salt), drained",Adansonia digitata,eligible,No exclusion or review rule matched.,,Default project rule
04_081,"Bay, leaves, dried",Laurus nobilis,eligible,No exclusion or review rule matched.,,Default project rule
04_003,"Bean, green, raw",Phaseolus vulgaris,eligible,No exclusion or review rule matched.,,Default project rule
04_088,"Bean, green, boiled* (as part of a recipe)",Phaseolus vulgaris,eligible,No exclusion or review rule matched.,,Default project rule
04_026,"Bean, green, boiled* (without salt), drained",Phaseolus vulgaris,eligible,No exclusion or review rule matched.,,Default project rule
04_005,"Cabbage, white, raw",Brassica oleracea var. capitata,eligible,No exclusion or review rule matched.,,Default project rule
04_090,"Cabbage, white, boiled* (as part of a recipe)",Brassica oleracea var. capitata,eligible,No exclusion or review rule matched.,,Default project rule
04_089,"Cabbage, white, boiled* (without salt), drained",Brassica oleracea var. capitata,eligible,No exclusion or review rule matched.,,Default project rule
04_006,"Carrot, raw",Daucus carota,eligible,No exclusion or review rule matched.,,Default project rule
04_091,"Carrot, boiled* (as part of a recipe)",Daucus carota,eligible,No exclusion or review rule matched.,,Default project rule
04_007,"Carrot, boiled* (without salt), drained",Daucus carota,eligible,No exclusion or review rule matched.,,Default project rule
04_008,"Cassava, leaves, fresh, raw",Manihot esculenta,eligible,No exclusion or review rule matched.,,Default project rule
04_092,"Cassava, leaves, fresh, boiled* (as part of a recipe)",Manihot esculenta,eligible,No exclusion or review rule matched.,,Default project rule
04_028,"Cassava, leaves, fresh, boiled* (without salt), drained",Manihot esculenta,eligible,No exclusion or review rule matched.,,Default project rule
04_009,"Cocoyam, leaves, fresh, raw",Xanthosoma sagittifolium,eligible,No exclusion or review rule matched.,,Default project rule
04_097,"Cocoyam, leaves, fresh, boiled* (as part of a recipe)",Xanthosoma sagittifolium,eligible,No exclusion or review rule matched.,,Default project rule
04_029,"Cocoyam, leaves, fresh, boiled* (without salt), drained",Xanthosoma sagittifolium,eligible,No exclusion or review rule matched.,,Default project rule
